FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,161.309,0,6.194,6010.161,2.782,2.838
20,341.192,0,2.921,6345.172,2.743,1.78
30,404.711,0,2.458,6358.26,2.389,1.827
40,381.825,4,2.615,6468.713,3.095,2.621
50,405.548,4,2.458,6483.206,2.893,1.631
60,335.469,4,2.972,6496.622,2.652,1.811
70,331.236,4,3.011,6509.888,2.793,1.668
80,413.36,4,2.412,6523.443,2.597,0
90,376.095,4,2.643,6536.006,2.736,1.517
100,350.177,4,2.844,6549.885,2.829,1.951
110,358.282,4,2.787,6564.457,2.729,1.688
120,356.24,4,2.798,6577.829,2.314,1.25
130,345.292,4,2.888,6591.761,2.982,1.404
140,341.67,4,2.915,6606.363,2.435,1.297
150,11.768,8,84.962,6667.261,2.546,1.187
160,301.395,8,3.309,6681.703,2.896,1.181
170,323.813,8,3.074,6697.22,3.131,1.487
180,379.32,8,2.63,6711.022,2.704,1.956
190,421.39,8,2.364,6724.226,2.707,1.526
200,349.443,8,2.854,6225.475,2.691,1.126
210,431.146,8,2.309,6238.778,2.891,0
220,343.454,8,2.899,6251.367,2.598,1.66
230,312.168,8,3.193,6264.806,2.913,1.195
240,400.208,8,2.482,6277.893,3.37,1.212
250,418.901,8,2.374,6290.622,2.536,1.177
260,350.643,8,2.849,6304.335,3.263,2.427
270,351.494,8,2.839,6317.694,3.515,2.623
280,336.44,8,2.964,6330.835,2.444,1.692
290,368.283,12,2.705,6387.149,2.744,1.603
300,317.188,12,3.134,6400.634,2.687,1.285
310,401.365,12,2.488,6413.766,2.819,1.289
320,427.972,12,2.328,6424.315,2.893,1.237
330,413.018,12,2.408,6427.889,2.438,1.286
340,354.887,12,2.801,6431.343,2.152,1.69
350,419.639,12,2.375,6434.861,2.102,1.185
360,435.882,12,2.282,6438.434,2.349,1.316
370,495.614,12,2.006,6441.713,2.098,1.637
380,409.786,12,2.434,6445.334,2.405,1.157
390,457.436,12,2.18,6449.51,2.27,1.275
400,446.887,12,2.225,6456.233,2.224,0
410,400.802,12,2.482,6477.731,2.997,2.625
420,324.728,16,3.072,6701.942,5.399,2.994
430,351.556,16,2.835,6549.341,2.806,2.616
440,465.766,16,2.138,6534.192,1.97,1.14
450,502.26,16,1.982,6534.13,2.02,1.141
460,494.927,16,2.012,6534.097,1.972,1.139
470,498.529,16,1.997,6533.947,2.181,1.141
480,483.349,16,2.061,6533.894,2.029,1.151
490,499.426,16,1.993,6533.782,1.966,1.142
500,495.319,16,2.01,6533.66,2.033,1.138
510,480.146,16,2.072,6533.849,2.131,1.144
520,494.047,16,2.015,6533.471,2.005,1.14
530,425.152,16,2.344,6533.342,2.13,1.138
540,11.223,20,89.091,6536.611,2.139,1.141
550,499.7,20,1.993,6536.543,2.35,1.168
560,499.55,20,1.992,6536.457,2.005,1.14
570,498.878,20,1.995,6536.33,1.989,1.143
580,497.117,20,2.004,6536.349,1.936,1.152
590,509.528,20,1.955,6536.252,2.013,1.15
600,499.7,20,1.992,6536.215,1.985,1.269
610,504.796,20,1.972,6536.091,1.998,1.257
620,503.702,20,1.976,6536.074,1.99,1.404
630,505.74,20,1.969,6535.982,1.99,1.455
640,510.36,20,1.951,6535.96,1.994,1.326
650,501.027,20,1.987,6535.816,1.983,1.138
660,483.77,20,2.057,6535.769,1.999,1.141
670,500.751,20,1.989,6535.615,2.14,1.139
680,493.705,20,2.016,6535.512,2.059,1.142
690,464.317,20,2.144,6535.418,2.144,1.138
700,503.778,20,1.976,6535.432,2.114,1.143
710,498.455,20,1.997,6535.4,2.084,1.137
720,494.902,20,2.012,6535.3,2.023,1.141
730,432.713,20,2.303,6535.252,2.019,1.138
740,14.37,24,69.581,6537.787,2.176,1.141
750,481.788,24,2.067,6537.649,2.341,1.152
760,501.203,24,1.987,6537.625,2.038,1.136
770,492.854,24,2.022,6537.546,2.05,1.137
780,501.329,24,1.986,6537.463,2.142,1.14
790,485.46,24,2.052,6537.407,2.226,1.143
800,471.431,24,2.113,6537.314,2.221,1.136
810,498.38,24,1.997,6537.197,2.02,1.143
820,502.285,24,1.982,6537.135,2,1.143
830,512.715,24,1.941,6536.93,1.997,1.142
840,501.706,24,1.984,6536.749,2.018,1.142
850,507.228,24,1.965,6536.697,1.961,1.152
860,508.259,24,1.958,6536.617,2.147,1.145
870,506.38,24,1.966,6536.533,2.002,1.259
880,463.263,24,2.149,6536.446,2.012,1.435
890,462.193,24,2.154,6536.344,2.152,1.461
900,501.429,24,1.985,6536.308,1.992,1.421
910,496.303,24,2.006,6536.172,1.998,1.145
920,424.286,24,2.348,6536.068,2,1.14
930,425.478,24,2.341,6536.016,1.992,1.457
940,484.52,24,2.057,6535.966,2.03,1.14
950,352.671,28,2.829,6538.551,2.058,1.442
960,500.275,28,1.99,6538.366,2.043,1.175
970,492.15,28,2.023,6538.275,2.198,1.14
980,494.511,28,2.013,6538.201,2.008,1.137
990,468.626,28,2.125,6538.104,1.998,1.138
1000,492.029,28,2.024,6537.938,2.223,1.144
1010,486.926,28,2.045,6537.83,2.185,1.141
1020,481.788,28,2.066,6537.743,2.061,1.139
1030,504.185,28,1.971,6537.656,1.96,1.14
1040,501.983,28,1.984,6537.538,1.982,1.144
1050,496.155,28,2.007,6537.543,2.013,1.144
1060,449.964,28,2.213,6537.469,2.024,1.139
1070,426.421,28,2.336,6537.355,2.116,1.142
1080,433.182,28,2.3,6537.263,2.004,1.141
1090,455.063,28,2.188,6537.271,2.19,1.137
1100,495.05,28,2.011,6537.207,1.988,1.141
1110,490.388,28,2.029,6537.142,2.149,1.141
1120,462.471,28,2.154,6536.99,1.977,1.153
1130,504.312,28,1.974,6536.912,2.015,1.148
1140,463.113,28,2.15,6536.808,1.987,1.148
1150,494.976,28,2.011,6536.734,2.001,1.139
1160,488.138,32,2.039,6540.669,1.994,2.655
1170,499.875,32,1.992,6540.625,2.183,1.139
1180,498.529,32,1.997,6540.453,2.041,1.142
1190,429.221,32,2.321,6540.36,1.998,1.14
1200,441.56,32,2.257,6540.331,1.965,1.139
1210,416.147,32,2.392,6540.233,2.158,0
1220,415.697,32,2.397,6540.225,2.006,1.142
1230,492.514,32,2.022,6540.206,2.216,1.139
1240,487.258,32,2.045,6540.098,2.018,1.141
1250,499.052,32,1.995,6540.045,2.135,1.15
1260,505.817,32,1.969,6540.055,1.997,1.15
1270,493.925,32,2.016,6540.006,1.978,1.158
1280,491.811,32,2.024,6539.956,2.146,1.15
1290,465.571,32,2.139,6539.842,2.002,1.139
1300,399.712,32,2.493,6539.816,2.146,1.14
1310,498.853,32,1.995,6539.744,2.364,0
1320,499.75,32,1.99,6539.537,2.324,0
1330,490.412,32,2.03,6539.446,2,1.141
1340,467.88,32,2.128,6539.351,2.01,1.15
1350,505.842,32,1.968,6539.247,2.017,1.145
1360,420.929,36,2.367,6541.988,2.88,0
1370,438.789,36,2.271,6541.897,1.977,1.439
1380,433.858,36,2.297,6541.915,1.981,1.466
1390,492.805,36,2.02,6541.835,2.067,1.439
1400,495.442,36,2.01,6541.852,1.978,1.439
1410,491.932,36,2.025,6541.693,2.021,1.437
1420,502.791,36,1.98,6541.61,2.063,1.433
1430,500.475,36,1.988,6541.488,1.977,1.449
1440,497.934,36,1.999,6541.407,2.003,1.452
1450,496.919,36,2.003,6541.21,2.003,1.461
1460,504.058,36,1.975,6541.109,1.966,1.428
1470,496.179,36,2.006,6541.022,2.304,1.456
1480,507.64,36,1.961,6540.998,2.263,1.434
1490,464.382,36,2.144,6540.775,2.36,1.135
1500,490.028,36,2.031,6540.776,2.162,1.141
1510,501.228,36,1.987,6540.608,2.007,1.141
1520,458.043,36,2.174,6540.484,2.059,1.145
1530,508.337,36,1.993,6540.393,1.998,1.141
1540,490.22,36,2.032,6540.261,2.035,1.142
1550,473.799,36,2.101,6540.206,2.133,1.147
1560,500.175,36,1.99,6539.967,2.012,1.143
1570,485.602,40,2.051,6540.019,2.083,1.284
1580,506.74,40,1.963,6539.926,2.046,1.322
1590,505.28,40,1.97,6539.754,2.136,1.144
1600,472.367,40,2.108,6539.579,2.138,1.143
1610,425.622,40,2.342,6539.533,2.067,1.436
1620,435.294,40,2.289,6539.416,1.99,1.139
1630,424.755,40,2.346,6539.404,2.008,1.143
1640,490.557,40,2.03,6539.3,2.061,1.141
1650,490.292,40,2.032,6539.146,2.007,1.428
1660,495.638,40,2.008,6538.982,1.982,1.141
1670,497.067,40,2.002,6538.777,2.021,1.152
1680,497.983,40,1.999,6538.715,1.995,1.147
1690,499.875,40,1.992,6538.587,2.054,1.436
1700,502.235,40,1.983,6538.45,1.985,1.14
1710,502.437,40,1.981,6538.315,2.153,1.303
1720,503.956,40,1.975,6538.181,2.364,1.14
1730,493.559,40,2.018,6537.971,2.389,1.138
1740,498.952,40,1.996,6537.843,2.414,1.141
1750,484.004,40,2.058,6537.689,2.534,1.143
1760,495.467,40,2.009,6537.603,2.027,1.14
1770,503.626,40,1.977,6537.465,2.001,1.14
1780,487.852,40,2.041,6537.311,2.018,1.143
1790,487.995,40,2.041,6537.109,1.994,1.144
1800,493.243,40,2.019,6536.924,2.018,1.14
1810,491.642,44,2.025,6539.531,2.047,0
1820,476.758,44,2.089,6539.336,1.988,1.148
1830,503.094,44,1.979,6539.243,2.068,1.146
1840,495.54,44,2.009,6539.131,1.969,1.14
1850,504.21,44,1.975,6539.041,1.994,1.141
1860,457.959,44,2.174,6538.953,2.395,1.139
1870,463.027,44,2.15,6538.775,2.034,1.213
1880,505.919,44,1.968,6538.595,1.987,1.136
1890,509.398,44,1.954,6538.406,1.981,1.145
1900,503.956,44,1.975,6538.348,2.007,1.14
1910,502.689,44,1.98,6538.256,1.997,1.139
1920,468.34,44,2.127,6538.153,2.163,1.137
1930,509.113,44,1.955,6538.031,1.993,1.142
1940,466.527,44,2.135,6537.82,2.017,1.141
1950,479.478,44,2.077,6537.712,2.115,1.147
1960,497.958,44,2,6537.542,1.983,1.141
1970,489.356,44,2.035,6537.327,2.071,1.141
1980,480.561,44,2.073,6537.235,1.991,1.143
1990,487.068,44,2.045,6537.184,2.058,1.143
2000,429.111,44,2.32,6537.05,2.006,1.138
2010,369.017,48,2.701,5818.855,2.072,1.138
2020,476.304,48,2.092,5721.515,2.108,1.176
2030,464.9,48,2.14,5647.049,2.423,1.433
2040,434.367,48,2.296,5534.244,2.142,1.475
2050,448.813,48,2.221,5398.393,2.266,1.341
2060,472.166,48,2.11,5245.99,2.055,1.183
2070,484.966,48,2.053,5032.679,2.035,1.389
2080,501.203,48,1.986,4829.48,2.07,1.172
2090,468.933,48,2.124,4750.429,1.998,1.178
2100,498.058,48,1.999,4750.145,2.117,1.152
2110,471.832,48,2.11,4749.936,2.045,1.139
2120,420.84,48,2.369,4749.717,2.092,1.427
2130,499.575,48,1.993,4749.279,2.134,1.367
2140,426.767,48,2.337,4748.993,2.178,1.146
2150,478.538,48,2.079,4748.814,2.092,1.149
2160,460.66,48,2.164,4746.636,2.064,1.141
2170,482.3,48,2.062,4746.273,2.058,1.139
2180,444.247,48,2.242,4745.943,2.373,1.14
2190,452.837,48,2.201,4745.63,2.42,1.167
2200,476.644,48,2.091,4740.818,2.06,1.368
2210,492.005,48,2.024,4740.412,2.071,1.138
2220,478.56,48,2.081,4740.135,2.065,1.163
2230,478.286,52,2.079,4740.078,2.097,1.983
2240,243.665,52,4.083,4739.869,2.393,1.154
2250,478.996,52,2.076,4739.824,2.146,1.484
2260,477.441,52,2.088,4739.539,2.139,1.258
2270,489.74,52,2.034,4739.301,2.449,1.149
2280,477.783,52,2.085,4739.054,2.414,1.143
2290,471.854,52,2.113,4737.134,2.328,1.34
2300,466.962,52,2.133,4736.965,2.164,1.153
2310,473.037,52,2.108,4736.526,2.003,1.149
2320,496.598,52,2.005,4736.387,1.985,1.297
2330,496.327,52,2.006,4736.456,1.991,1.176
2340,408.513,52,2.44,4736.801,1.996,1.428
2350,486.902,52,2.047,4736.901,2.096,1.243
2360,476.259,52,2.089,4737.068,2.219,1.205
2370,502.689,52,1.98,4737.21,2.252,1.262
2380,496.376,52,2.008,4737.372,2.063,1.14
2390,484.52,52,2.055,4737.495,2.208,1.142
2400,480.377,52,2.075,4737.705,2.356,1.144
2410,453.432,52,2.198,4737.552,2.297,1.144
2420,489.956,52,2.032,4725.119,2.047,1.208
2430,493.072,52,2.018,4722.232,2.058,1.207
2440,475.421,52,2.095,4721.651,2.046,1.186
2450,489.141,52,2.036,4721.673,2.065,1.202
2460,462.257,56,2.154,4721.769,2.023,1.897
2470,498.803,56,1.996,4721.721,2.014,1.483
2480,480.169,56,2.074,4721.787,2.066,1.278
2490,405.614,56,2.455,4721.793,1.993,1.156
2500,408.197,56,2.437,4721.895,1.992,1.144
2510,497.413,56,2.002,4721.944,2,1.271
2520,498.355,56,2.001,4721.962,2.295,1.306
2530,504.439,56,1.973,4722.021,1.971,1.569
2540,460.448,56,2.163,4721.985,2.077,1.448
2550,502.892,56,1.979,4721.857,2.006,1.45
2560,440.995,56,2.258,4721.826,1.98,1.464
2570,496.007,56,2.007,4721.886,1.976,1.295
2580,490.437,56,2.044,4721.815,1.988,1.426
