FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,143.182,0,6.973,4333.341,2.478,3.13
20,323.562,0,3.092,4668.386,2.544,1.391
30,433.276,0,2.293,4682.629,2.829,0
40,325.5,4,3.064,4795.407,3.294,2.669
50,324.38,4,3.069,4810.718,3.484,1.543
60,324.338,4,3.073,4825.233,3.317,1.635
70,334.113,4,2.984,4840.326,2.983,1.532
80,332.491,4,2.999,4855.119,3.093,1.639
90,297.841,4,3.319,4871.707,3.354,1.917
100,292.912,4,3.406,4887.773,3.055,1.525
110,339.041,4,2.938,4902.054,2.816,1.611
120,297.575,4,3.352,4917.307,3.183,1.511
130,336.078,4,2.964,4932.016,3.05,1.332
140,31.756,8,31.48,4511.802,4.313,3.399
150,310.704,8,3.209,4528.141,3.381,1.668
160,319.765,8,3.123,4544.192,3.14,2.238
170,315.219,8,3.166,4559.494,2.797,0
180,302.416,8,3.297,4574.968,3.407,2.305
190,260.981,8,3.824,4590.214,3.074,1.474
200,316.146,8,3.153,4606.034,3.643,1.639
210,310.781,8,3.208,4621.14,3.04,1.626
220,318.309,8,3.13,4637.143,3.257,2.907
230,338.169,8,2.946,4652.29,3.446,2.924
240,231.064,12,4.326,4721.884,2.746,2.626
250,340.275,12,2.929,4726.07,2.673,1.456
260,312.549,12,3.17,4730.43,3.325,2.596
270,299.554,12,3.348,4735.069,3.918,3.554
280,385.966,12,2.581,4738.68,2.422,1.569
290,450.755,12,2.21,4742.376,2.464,2
300,355.847,12,2.799,4746.587,3.049,1.433
310,399.808,12,2.492,4753.354,2.326,1.478
320,345.77,12,2.878,4768.279,2.492,1.389
330,449.378,16,2.217,5119.046,2.404,2.048
340,450.918,16,2.212,5127.841,2.259,1.415
350,434.16,16,2.294,5136.624,2.22,2.175
360,404.809,16,2.461,5145.432,2.185,2.318
370,456.017,16,2.183,5154.193,2.19,0
380,445.137,16,2.238,5162.993,2.249,2.151
390,464.49,16,2.145,5171.784,2.418,2.25
400,447.227,16,2.23,5180.539,2.229,2.378
410,390.427,16,2.552,5189.327,2.204,1.916
420,450.593,16,2.213,5198.125,2.222,2.043
430,402.982,16,2.471,5206.936,2.241,2.555
440,449.277,16,2.216,5215.705,2.243,1.928
450,426.457,16,2.336,5224.484,2.213,2.161
460,454.545,16,2.191,5233.28,2.338,2.12
470,451.223,16,2.206,5242.066,2.275,2.173
480,443.302,20,2.247,5254.674,2.245,0
490,398.899,20,2.499,5263.435,2.259,1.411
500,396.338,20,2.512,5272.197,2.236,1.425
510,449.64,20,2.22,5280.944,2.222,1.649
520,442.791,20,2.248,5289.744,2.249,0
530,424.232,20,2.348,5298.495,2.516,1.424
540,438.231,20,2.273,5307.236,2.331,1.701
550,445.931,20,2.235,5315.993,2.266,1.385
560,411.607,20,2.422,5324.745,2.198,1.438
570,395.977,20,2.515,5333.52,2.244,1.806
580,442.419,20,2.252,5342.244,2.241,1.44
590,447.367,20,2.227,5350.995,2.223,1.416
600,451.08,20,2.209,5359.732,2.486,1.421
610,445.414,20,2.238,5368.486,2.222,1.748
620,418.866,20,2.379,5377.227,2.215,1.422
630,447.387,20,2.227,5386.007,2.223,1.412
640,396.794,20,2.511,5394.771,2.181,1.43
650,446.13,20,2.236,5403.532,2.241,1.779
660,443.184,20,2.247,5412.287,2.266,1.434
670,450.268,20,2.213,5421.058,2.329,1.434
680,427.789,24,2.33,5430.646,2.265,2.117
690,446.369,24,2.232,5439.435,2.411,2.175
700,446.748,24,2.232,5448.217,2.284,2.285
710,432.171,24,2.305,5457.018,2.258,2.238
720,393.716,24,2.533,5465.797,2.846,2.782
730,436.872,24,2.278,5474.588,2.295,1.899
740,443.282,24,2.248,5483.401,2.274,2.201
750,440.859,24,2.262,5492.193,2.304,2.602
760,405.449,24,2.457,5500.991,2.295,1.954
770,441.462,24,2.256,5509.763,2.256,2.195
780,421.941,24,2.36,5518.573,2.238,2.478
790,441.17,24,2.254,5527.35,2.582,2.135
800,440.8,24,2.259,5536.146,2.262,2.197
810,442.85,24,2.252,5544.966,2.33,2.474
820,437.828,24,2.276,5553.77,2.966,2.889
830,382.424,24,2.76,5562.584,2.261,2.229
840,446.588,24,2.233,5571.362,2.3,2.229
850,409.668,24,2.435,5580.161,2.269,2.486
860,439.676,24,2.267,5588.97,2.333,2.118
870,391.221,24,2.549,5597.777,2.315,2.197
880,420.982,24,2.367,5606.548,2.276,2.455
890,356.468,28,2.797,5617.295,2.276,3.79
900,383.759,28,2.638,5626.096,2.664,2.433
910,436.243,28,2.283,5634.934,2.475,2.271
920,392.619,28,2.537,5643.784,2.295,2.21
930,412.439,28,2.415,5652.605,2.304,2.431
940,421.301,28,2.331,5661.458,2.288,2.478
950,436.738,28,2.281,5670.251,2.373,1.997
960,442.008,28,2.254,5679.082,2.294,2.178
970,403.291,28,2.47,5687.928,2.334,2.525
980,433.219,28,2.299,5696.764,2.268,2.021
990,437.101,28,2.279,5705.577,2.328,2.404
1000,435.692,28,2.289,5714.401,2.571,2.627
1010,427.405,28,2.328,5723.259,2.276,1.969
1020,383.377,28,2.599,5732.083,2.849,2.829
1030,432.32,28,2.305,5740.979,2.295,2.22
1040,425.423,28,2.342,5749.819,2.32,2.779
1050,427.022,28,2.334,5758.645,2.529,2.112
1060,362.884,28,2.759,5767.473,2.664,2.487
1070,391.16,28,2.548,5776.356,2.318,2.342
1080,312.032,32,3.197,5789.564,2.294,2.435
1090,440.995,32,2.26,5798.44,2.354,1.507
1100,435.597,32,2.291,5807.31,2.293,2.584
1110,389.651,32,2.554,5816.201,2.263,0
1120,441.306,32,2.258,5825.034,2.321,2.244
1130,426.421,32,2.336,5833.916,2.255,2.522
1140,440.16,32,2.263,5842.771,2.577,2.169
1150,433.858,32,2.297,5851.642,2.284,2.236
1160,347.983,32,2.865,5860.523,2.455,2.034
1170,400.545,32,2.487,5869.404,2.509,2.177
1180,408.197,32,2.44,5878.275,2.272,2.328
1190,430.737,32,2.313,5887.165,2.278,2.388
